S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref,Organisation Chain
74.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video Bronchoscope with monitor and recording facility for pediatric] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_32],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
75.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[ MCD/EE-M-IV-Sh.S/23-24/12-5] [MCD/EE-M-IV-Sh.S/23-24/12-5][2023_MCD_164792_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
76.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of HPLC based automated analyzer for HbA1C testing ] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_28],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
77.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Automated System for mycobacterium culture and sensitivity testing] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_33],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
78.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Point of Care device (Cardiac Biomarker)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_27],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
79.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_26],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
80.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_25],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
81.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Automated System for mycobacterium culture and sensitivity testing] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_33],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
82.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Gradient PCR Machine] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_22],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
83.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Rotational Thromboelastometry (ROTEM)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_23],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
84.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_26],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
85.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_25],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
86.,17-Aug-2023 05:35 PM,24-Aug-2023 01:00 PM,24-Aug-2023 01:10 PM,"[P/F Sign/Naming Board at various lanes, streets and roads in Ward No. 77, Delhi Gate, City SP Zone.] [EE(M)-II/CITY-SPZ/23-24/13.07][2023_MCD_164781_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
87.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Pediatric Rigid Bronchoscope and Oesophagoscope] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_24],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
88.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Gamma Camera] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_21],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
89.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Fully Automated Coagulometer] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_20],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
90.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Full body pregnancy simulator] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_19],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
91.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_39],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
92.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_38],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
93.,31-Mar-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Video Assisted Thoracic Surgery (VATS) Minimally Invasive Cardiac Surgery instrument set] [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
94.,31-Mar-2023 06:25 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Digital Non- Mydriatic Fundus Camera] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_3],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
95.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Dissolution media preparation and delivery system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_5],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
96.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Pediatric Rigid Bronchoscope and Oesophagoscope] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_37],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
97.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Rotational Thromboelastometry ] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_36],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
98.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of IPL (Intense Pulse Light System)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_35],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
99.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Full Endoscopic lumbar IT and ED set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_34],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
100.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Automated System for mycobacterium culture and sensitivity testing] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_33],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
101.,17-Aug-2023 06:45 PM,24-Aug-2023 01:00 PM,24-Aug-2023 01:15 PM,[Precast RCC Bench] [EE(M-I)/KPZ/TC/2023-24/06-02][2023_MCD_164833_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
102.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of HPLC based automated analyzer for HbA1C testing ] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_41],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
103.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Point of Care device (Cardiac Biomarker)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_40],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
104.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_39],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
105.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_38],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
106.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Pediatric Rigid Bronchoscope and Oesophagoscope] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_37],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
107.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Rotational Thromboelastometry ] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_36],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
108.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of IPL (Intense Pulse Light System)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_35],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
109.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Full Endoscopic lumbar IT and ED set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_34],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
110.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Automated System for mycobacterium culture and sensitivity testing] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_33],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
111.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[ MCD/EE-M-IV-Sh.S/23-24/12-5] [MCD/EE-M-IV-Sh.S/23-24/12-5][2023_MCD_164792_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
112.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Derma scope] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_17],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
113.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_26],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
114.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of IPL (Intense Pulse Light System)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_35],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
115.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Rotational Thromboelastometry ] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_36],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
116.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Rotational Thromboelastometry (ROTEM)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_23],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
117.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Pediatric Rigid Bronchoscope and Oesophagoscope] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_37],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
118.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-6 ] [MCD/EE-M-IV-Sh.S/23-24/12-6][2023_MCD_164793_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
119.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_38],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
120.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[ MCD/EE-M-IV-Sh.S/23-24/12-7] [MCD/EE-M-IV-Sh.S/23-24/12-7][2023_MCD_164794_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
121.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-10] [MCD/EE-M-IV-Sh.S/23-24/12-10][2023_MCD_164797_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
122.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Full body pregnancy simulator] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_19],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
123.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Fully Automated Coagulometer] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_20],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
124.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Gamma Camera] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_21],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
125.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-9 ] [MCD/EE-M-IV-Sh.S/23-24/12-9][2023_MCD_164796_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
126.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Pediatric Rigid Bronchoscope and Oesophagoscope] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_24],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
127.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_25],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
128.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_26],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
129.,01-Aug-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,[e-tender for Outsourcing of Operation and Maintenance of CSCs of Rourkela Telecom District (Rajgangpur CSC)] [N-77/2023-24/1][2023_BSNL_162935_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||GMTD,Rourkela"
130.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-8 ] [MCD/EE-M-IV-Sh.S/23-24/12-8][2023_MCD_164795_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
131.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of ATLS Practising Manikin] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_12],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
132.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Antibiotic Zone Reader] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_11],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
133.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 01:05 PM,[MCD/EE-M-IV-Sh.S/23-24/12-10] [MCD/EE-M-IV-Sh.S/23-24/12-10][2023_MCD_164797_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
134.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric laparoscopy set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_10],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
135.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric cystoscope and resectoscope] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_9],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
136.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric Bronchoscope set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_8],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
137.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Fully Automated Rotary Microtome with] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_7],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
138.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of ECHO and USG Machine] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_6],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
139.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Digital Refractor Meter] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_4],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
140.,31-Mar-2023 06:30 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation of Air Particle Counter] [HITES/PCD/AIIMS-IV/67/MIX/ 22-23][2023_HLL_150737_12]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
141.,18-Aug-2023 05:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[PUR/IICT/DMS/361/23-24] [PUR/IICT/DMS/361/23-24][2023_CSIR_164893_1],Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR
142.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Flexible High Definition/High resolution Video] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_31],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
143.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,"[Procurement of Endoscopic sinus surgery instrument set with light source, camera and recording system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_30]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
144.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Super Microsurgery system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_29],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
145.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of HPLC based automated analyzer for HbA1C testing ] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_41],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
146.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of HPLC based automated analyzer for HbA1C testing ] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_28],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
147.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Point of Care device (Cardiac Biomarker)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_40],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
148.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Point of Care device (Cardiac Biomarker)] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_27],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
149.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Electrical drill and reamer set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_26],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
150.,01-Apr-2023 06:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Endoscopic washer and disinfector system] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_25],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
151.,01-Apr-2023 02:00 PM,24-Aug-2023 01:00 PM,25-Aug-2023 02:30 PM,[Procurement of Paediatric Bronchoscope set] [HITES/PCD/AIIMS-IV/69/Mix/ 22-23][2023_HLL_150739_8],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
152.,31-Mar-2023 06:55 PM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation and Commissioning of Inverted Trinocular Epifluorescence Microscope with Imaging system] [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_8]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
153.,08-Aug-2023 05:00 PM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,[PROCUREMENT OF HIGH SPEED DIESEL] [HIGH SPEED DIESEL][2023_GAIL_162357_1],GAIL (India) Limited||GAIL India Limited- Jaipur
154.,31-Mar-2023 06:55 PM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation and Commissioning of Thalassaemia and Hemoglobinopathy testing/Screening System] [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_22]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
155.,28-Mar-2023 09:00 AM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Establishment of Molecular Pathology Lab at NCI-AIIMS, Jhajjar] [HITES/PCD/NCI-AIIMS/53/22-23 ][2023_HLL_150351_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
156.,30-Mar-2023 09:00 AM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Establishment of Core Pathology Lab at NCI-AIIMS, Jhajjar] [HITES/PCD/NCI-AIIMS/54/22-23][2023_HLL_150524_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
157.,31-Mar-2023 06:55 PM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation and Commissioning of New-born Resuscitation Manikin] [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_15]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
158.,31-Mar-2023 06:55 PM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation and Commissioning of Radiofrequency Generator with integrated vessel] [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_21]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
159.,31-Mar-2023 06:55 PM,24-Aug-2023 02:00 PM,25-Aug-2023 02:30 PM,"[Supply, Installation and Commissioning of lnverted Fluorescent Microscope livecell] [HITES/PCD/AIIMS-IV/68/MIX/ 22-23][2023_HLL_150738_7]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED
