S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
76.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in New Delhi District, New Delhi.] [245-248/DPHCL/ENGG] [2023_DPHCL_166654_1]",Delhi Police Housing Corporation Ltd,,Multiple,"New Delhi District , New Delhi ."
77.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Engagement of user fee collection agency for Khuian Sarvar FP at Km 13.900 and Km 14.080 for the use of four lane of Malout Abohar Sadhuwali section from design kilometer 44.500 to km 76.500 of NH 07 in Punjab ] [NHAI/13013/547/CO/23-24 /EQ/ Khuian Sarvar FP] [2023_NHAI_166646_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,Khuian,Punjab
78.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Engagement of user fee agency through EQ at Hasanpur FP located at km 32.900 from km 0.000 to km 163.000 (Panikholi to Rimuli Section) on NH-215 in Odisha ] [NHAI/13013/547/CO/ 23-24/EQ/Hasanpur FP] [2023_NHAI_166650_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,,Odisha
79.0,01-Aug-2023 06:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,[RFP for Initial Improvement works for Jhansi Shivpuri section (from Chainage. Km 1305.087 to Chainage. Km 1380.387) of NH 27 in the State of Madhya Pradesh) on EPC mode] [2023/NHIPMPL/SJ/Imp. Date 01/08/2023] [2023_NHAI_162994_1],National Highways Authority of India,,Initial,
80.0,12-Jul-2023 04:00 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[DEVELOPING, OPERATING AND MAINTAINENCE OF LARGE and SMALL WAYSIDE AMENITIES ON DIFFERENT SECTIONS OF NATIONAL HIGHWAY ON LEASE BASIS.] [NHAI /WSA/ O AND M/ LOT-4/2023] [2023_NHAI_160854_1]",National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,NATIONAL,
81.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Engagement of user fee agency through EQ at Baloh FP at km 121.935 for the use of Kiratpur Nerchowk Manali section from Km. 119.965 to Km 178.795 and Km 0.000 to Km 2.003 of NH-21 (Now 205 and 154) in Himachal Pradesh ] [NHAI/13013/ 547/CO/23-24/EQ/Baloh FP] [2023_NHAI_166649_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,Nerchowk,
82.0,04-Sep-2023 05:30 PM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Non-Comprehensive Annual Maintenance Contract] [IGIB/2-5C/118/23-24(475)] [2023_CSIR_166608_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,Non,
83.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Repair And Renovation work in DCP Office Complex West District, Janakpuri West.] [244/DPHCL/ENGG/NIT/2023-24] [2023_DPHCL_166630_1]",Delhi Police Housing Corporation Ltd,,DCP,
84.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:30 AM,[Engagement of user fee agency through EQ at Hasanpur FP located at km 32.900 from km 0.000 to km 163.000 (Panikholi to Rimuli Section) on NH-215 in Odisha ] [NHAI/13013/547/CO/ 23-24/EQ/Hasanpur FP] [2023_NHAI_166650_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,,Odisha
85.0,05-Sep-2023 11:00 AM,11-Sep-2023 11:00 AM,12-Sep-2023 11:00 AM,"[Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in New Delhi District, New Delhi.] [245-248/DPHCL/ENGG] [2023_DPHCL_166654_1]",Delhi Police Housing Corporation Ltd,,Multiple,"New Delhi District , New Delhi ."
86.0,18-Aug-2023 06:00 PM,11-Sep-2023 11:30 AM,12-Sep-2023 11:30 AM,"[Supply, Installation, Wiring, Testing and Commissioning of Signalling and Telecommunication work of Distributed Electronic Interlocking at Bina Kakri Amalgamation Yard in connection with upcoming CHP and Silo of NCL taking off from KRSL station of NC] [RITES/PULKO/NCLBINAKAKRI/ST/23 ] [2023_RITES_164888_1]",RITES Ltd.||RPO Lucknow - RITES,['RITES'],Testing,NC
87.0,17-Aug-2023 01:00 PM,11-Sep-2023 11:30 AM,12-Sep-2023 12:00 PM,[Procurement of Satellite Bandwidth in LEO/MEO/GEO] [MM/RPC/Satellite Bandwidth/T-771/2023] [2023_BSNL_164079_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office,,LEO,
88.0,19-Aug-2023 10:00 AM,11-Sep-2023 11:30 AM,12-Sep-2023 11:30 AM,"[Design, Drawing, Supply, Erection, Testing and Commissioning of 25 KV AC OHE system for Providing Rail Connectivity to upcoming P.R. Siding of New Silo at Bina Kakri Amalgamation Project of NCL, Sonebhadra, Uttar Pradesh] [RITES/PULKO/NCLBINAKAKRI/OHE23] [2023_RITES_164984_1]",RITES Ltd.||RPO Lucknow - RITES,['RITES'],KV,"NCL ,"
89.0,27-Jul-2023 03:00 PM,11-Sep-2023 11:30 AM,12-Sep-2023 12:30 PM,[Construction of S VUP at Gandarpur at km. 23.500 on Chandikhole Jagatpur Bhubaneswar section of NH 16 in the state of Odisha on EPC Mode ] [NHAI/13012/115/RO/OD/2023] [2023_NHAI_162524_1],National Highways Authority of India||RO-Bhubaneswar - NHAI,['INDIA'],,Odisha on EPC Mode
90.0,04-Sep-2023 11:30 AM,11-Sep-2023 11:30 AM,12-Sep-2023 11:30 AM,[Supply ] [IGIB/7-2C/150/23-24(558)] [2023_CSIR_166534_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR,,,
91.0,18-Aug-2023 06:00 PM,11-Sep-2023 11:30 AM,12-Sep-2023 11:30 AM,"[Supply, Installation, Wiring, Testing and Commissioning of Signalling and Telecommunication work of Distributed Electronic Interlocking at Bina Kakri Amalgamation Yard in connection with upcoming CHP and Silo of NCL taking off from KRSL station of NC] [RITES/PULKO/NCLBINAKAKRI/ST/23 ] [2023_RITES_164888_1]",RITES Ltd.||RPO Lucknow - RITES,['RITES'],Testing,NC
92.0,27-Jul-2023 03:00 PM,11-Sep-2023 11:30 AM,12-Sep-2023 12:30 PM,[Construction of S VUP at Gandarpur at km. 23.500 on Chandikhole Jagatpur Bhubaneswar section of NH 16 in the state of Odisha on EPC Mode ] [NHAI/13012/115/RO/OD/2023] [2023_NHAI_162524_1],National Highways Authority of India||RO-Bhubaneswar - NHAI,['INDIA'],,Odisha on EPC Mode
93.0,04-Sep-2023 10:15 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:00 PM,[Consortium for the Construction works ] [WAPCOS/NIT/EPC-C/2023/01] [2023_WAPCO_166526_1],WAPCOS Limited||Centre for Infrastructure Development,,,the Construction works
94.0,01-Aug-2023 04:30 PM,11-Sep-2023 12:00 PM,13-Sep-2023 12:00 PM,"[Procurement of 3000 KL LSHS ( Low Sulphur Heavy Stock) Fuel oil on LTE basis for MTPS(1-8),DVC] [DVC/Ten/HQ/OSnU/CMM/Sply/00058] [2023_DVC_162920_1]",Damodar Valley Corporation||HQ Kolkata - DVC||C and M,,,"MTPS(1 - 8),DVC"
95.0,08-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,[Descaling and Re-tubing of Condenser Tubes of TPP and CPP Turbine] [23-24/C-090/NIT-1327] [2023_BPSCL_163707_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,TPP,
96.0,02-Sep-2023 10:00 AM,11-Sep-2023 12:00 PM,11-Sep-2023 12:05 PM,[GENERAL-E-block school shastri nagar-Imp dev of M C Pry school E-block shastri nagar by Pdg RCC work and other various works in ward No. 70 CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/16-01] [2023_MCD_166442_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,ward No . 70 CSPZ.-General Civil Work
97.0,07-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,[Linkage Materialization and Shortage Minimization for Coal Supply from CCL to BPSCL] [22-23/C-130/NIT-1326] [2023_BPSCL_163569_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,Linkage,
98.0,14-Aug-2023 05:00 PM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,"[Assistance in Electrical Testing, Supervision of Protection, Signalling and condition monitoring of Electrical Drives and Equipments. ] [23-24/C-092/NIT-1334] [2023_BPSCL_164510_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,Supervision,
99.0,10-Aug-2023 12:00 PM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,[Laying of SMS and RMP pipelines and fabrication of Acid Storage Tanks and Clarifier Structure in WCTP.] [23-24/C-071/NIT-1320] [2023_BPSCL_164026_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,SMS,WCTP .
100.0,10-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,[Assistance in maintenance of 6.6 kV and 440 V Indoor Switchgear of TPP and CHP.] [23-24/C-091/NIT-1332] [2023_BPSCL_163986_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,TPP,
101.0,08-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,[Descaling and Re-tubing of Condenser Tubes of TPP and CPP Turbine] [23-24/C-090/NIT-1327] [2023_BPSCL_163707_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,TPP,
102.0,23-Jun-2023 06:00 PM,11-Sep-2023 12:00 PM,12-Sep-2023 12:00 PM,"[Engagement of an expert consultant for undertaking comprehensive study of DVC businesses and processes, formulation of unbundling strategy and development of implementation roadmap for unbundling of DVC..] [DVC/Ten/HQ/COM/CMM/WS/00009] [2023_DVC_158406_1]",Damodar Valley Corporation||HQ Kolkata - DVC||C and M,,,DVC ..
103.0,30-Aug-2023 04:00 PM,11-Sep-2023 12:00 PM,12-Sep-2023 12:00 PM,"[Repair, servicing and calibrations of Instron make UTM] [AMPRI/PUR/REPAIR/84/2023-24] [2023_CSIR_166154_1]",Council of Scientific and Industrial Research||AMPRI - CSIR||Purchase-AMPRI - CSIR,,Instron,
104.0,09-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,"[Preventive and breakdown maintenance of Exchangers, Pressure Filters, Phosphate Transferring System, Clarifiers and Deaerators of WCTP, TPP] [23-24/C-010/NIT-1328] [2023_BPSCL_163852_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,Phosphate,"Exchangers , Pressure Filters ,"
105.0,09-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,"[Annual Maintenance of Pumps, Rotary equipment, Exchangers, Filters, Clarifiers, Injectors, Valves, Acid Storage Tanks of WCTP, CPP] [23-24/C-015/NIT-1329] [2023_BPSCL_163853_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,Acid,"WCTP , CPP"
106.0,07-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,[Linkage Materialization and Shortage Minimization for Coal Supply from CCL to BPSCL] [22-23/C-130/NIT-1326] [2023_BPSCL_163569_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,Linkage,
107.0,30-Aug-2023 01:55 PM,11-Sep-2023 12:00 PM,12-Sep-2023 12:00 PM,[01/ES/05/2023-ELE.] [01/ES/05/2023-ELE.] [2023_CSIR_166135_1],Council of Scientific and Industrial Research||NBRI-LUcknow - CSIR||ESD-NBRI - CSIR,,,
108.0,18-Jul-2023 01:55 PM,11-Sep-2023 12:00 PM,13-Sep-2023 12:30 PM,"[Design, manufacture, supply, erection, testing and commissioning of one (01) no. new 6 KV VCB panel as extension of existing switchgear panel at DVC Towers] [DVC/Ten/HQ/ESTHQ/CMM/WS/00129] [2023_DVC_161364_1]",Damodar Valley Corporation||HQ Kolkata - DVC||C and M,,KV,
109.0,04-Sep-2023 10:15 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:00 PM,[Consortium for the Construction works ] [WAPCOS/NIT/EPC-C/2023/01] [2023_WAPCO_166526_1],WAPCOS Limited||Centre for Infrastructure Development,,,the Construction works
110.0,12-Aug-2023 09:00 AM,11-Sep-2023 12:00 PM,12-Sep-2023 12:15 PM,[Strengthening of CHP and FOS department for Supervisory Control. ] [23-24/C-094/NIT-1333] [2023_BPSCL_164325_1],Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,,CHP,
111.0,06-Sep-2023 12:20 PM,11-Sep-2023 12:20 PM,12-Sep-2023 12:20 PM,"[Repair and renovation for Govt. accommodations allotted in various locations of East District, New Delhi.] [249/DPHCL/ENGG/NIT/2023-24] [2023_DPHCL_166824_1]",Delhi Police Housing Corporation Ltd,,Govt,"East District , New Delhi ."
112.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Repetitive Transcranial Magnetic Stimulator (RTMS)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_3],HITES,,Repetitive,
113.0,29-Aug-2023 03:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:00 PM,[Supply and Installation of Carbonation Chamber] [CBRI/PB-1(3)/23] [2023_CSIR_166006_1],Council of Scientific and Industrial Research||CBRI-Roorkee - CSIR||Purchase-CBRI - CSIR,,,Carbonation Chamber
114.0,06-Sep-2023 01:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 01:00 PM,"[Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in South-West District, New Delhi.] [250-251/DPHCL/ENGG] [2023_DPHCL_166831_1]",Delhi Police Housing Corporation Ltd,,Multiple,"South - West District , New Delhi ."
115.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Transcranial Doppler System (TCD Machine)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_2],HITES,,Transcranial,
116.0,22-Aug-2023 06:20 PM,11-Sep-2023 01:00 PM,12-Sep-2023 03:00 PM,[EOI for engaging Ext. Audit for Technical and Functional audit of four Zonal Centers ICB] [TNSZBC 11/12(20)/3/2023 ADMNPLG CM SZBC DT 22.8.23] [2023_BSNL_165313_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||GM Trichy,,EOI,four
117.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Basic Repetitive Transcranial Magnetic Stimulator (RTMS)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_1],HITES,,Basic,
118.0,10-Aug-2023 11:00 AM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Western blot apparatus with power supply] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_8],HITES,,,power supply
119.0,10-Aug-2023 11:00 AM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Inverted phase contrast microscope with PC] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_9],HITES,,,PC
120.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Platform pedography system] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_23],HITES,,,
121.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Basic Repetitive Transcranial Magnetic Stimulator (RTMS)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_1],HITES,,Basic,
122.0,22-Aug-2023 06:20 PM,11-Sep-2023 01:00 PM,12-Sep-2023 03:00 PM,[EOI for engaging Ext. Audit for Technical and Functional audit of four Zonal Centers ICB] [TNSZBC 11/12(20)/3/2023 ADMNPLG CM SZBC DT 22.8.23] [2023_BSNL_165313_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||GM Trichy,,EOI,four
123.0,29-Aug-2023 03:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:00 PM,[Supply and Installation of Carbonation Chamber] [CBRI/PB-1(3)/23] [2023_CSIR_166006_1],Council of Scientific and Industrial Research||CBRI-Roorkee - CSIR||Purchase-CBRI - CSIR,,,Carbonation Chamber
124.0,10-Aug-2023 11:00 AM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Video Endoscopy System and Full Endoscopic Lumbar Set] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_6],HITES,,,
125.0,10-Aug-2023 11:00 AM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Inverted phase contrast microscope with PC] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_9],HITES,,,PC
126.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Conventional PCR] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_12],HITES,,,
127.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Microwave digestion system] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_10],HITES,,,
128.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Agarose gel electophoresis apparatus] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_13],HITES,,,
129.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Point of Care device (Cardiac Biomarker)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_27],HITES,,Cardiac,Care device (
130.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Agarose gel electrophoresis-UV transilluminator-Gel Documentation system] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_14],HITES,,,
131.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Real time PCR machine] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_11],HITES,,PCR,
132.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Portable Echocardiography System] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_24],HITES,,,
133.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[CR System] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_4],HITES,,CR,
134.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[High Dose Rate Brachytherapy System] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_5],HITES,,,
135.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Video Bronchoscope] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_19],HITES,,,
136.0,10-Aug-2023 11:00 AM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Western blot apparatus with power supply] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_8],HITES,,,power supply
137.0,01-Sep-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 03:00 PM,[Non-Comp. AMC for Portable Air Sampler] [PUR-144/AMC/EMD/2023-24] [2023_CSIR_166393_1],Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||Purchase-NEERI - CSIR,,Non,Portable Air Sampler
138.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[High End Echocardiography system (4D ECHO)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_25],HITES,,ECHO,
139.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Immunofluorescence Microscope with camera and software] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_17],HITES,,,camera and software
140.0,10-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Autoanalyzer immunoassay (chemiluminescence based)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_22],HITES,,,
141.0,22-Aug-2023 06:20 PM,11-Sep-2023 01:00 PM,12-Sep-2023 03:00 PM,[EOI for engaging Ext. Audit for Technical and Functional audit of four Zonal Centers ICB] [TNSZBC 11/12(20)/3/2023 ADMNPLG CM SZBC DT 22.8.23] [2023_BSNL_165313_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||GM Trichy,,EOI,four
142.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Repetitive Transcranial Magnetic Stimulator (RTMS)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_3],HITES,,Repetitive,
143.0,29-Aug-2023 03:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:00 PM,[Supply and Installation of Carbonation Chamber] [CBRI/PB-1(3)/23] [2023_CSIR_166006_1],Council of Scientific and Industrial Research||CBRI-Roorkee - CSIR||Purchase-CBRI - CSIR,,,Carbonation Chamber
144.0,09-Aug-2023 06:00 PM,11-Sep-2023 01:00 PM,12-Sep-2023 02:30 PM,[Basic Repetitive Transcranial Magnetic Stimulator (RTMS)] [HITES/PCD/AIIMS-IV/ 70/Mix/2023-24] [2023_HITE_163943_1],HITES,,Basic,
145.0,06-Sep-2023 01:15 PM,11-Sep-2023 01:15 PM,12-Sep-2023 01:15 PM,"[Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in South-West, New Delhi.] [252-256/DPHCL/ENGG] [2023_DPHCL_166842_1]",Delhi Police Housing Corporation Ltd,,Multiple,"South - West , New Delhi ."
146.0,06-Sep-2023 01:30 PM,11-Sep-2023 01:30 PM,12-Sep-2023 01:30 PM,"[Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in South District, New Delhi.] [257-258/DPHCL/ENGG] [2023_DPHCL_166846_1]",Delhi Police Housing Corporation Ltd,,Multiple,"South District , New Delhi ."
147.0,06-Sep-2023 01:35 PM,11-Sep-2023 01:35 PM,12-Sep-2023 01:35 PM,"[Multiple Works Repair and renovation for Govt. accommodations allotted in various types and various location in South District ,New Delhi.] [259-261/DPHCL/ENGG] [2023_DPHCL_166847_1]",Delhi Police Housing Corporation Ltd,,Multiple,"South District , New Delhi ."
148.0,29-Aug-2023 12:00 PM,11-Sep-2023 02:00 PM,12-Sep-2023 02:30 PM,[Spares for UHPLC with Accessories] [CFTRI/82385/23-24/2] [2023_CSIR_165872_1],Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,,,Accessories
149.0,02-Sep-2023 06:00 PM,11-Sep-2023 02:00 PM,11-Sep-2023 02:30 PM,[Imp/Repair and raising of boundary wall of Bhagat singh Park in C 9 block Yamuna Vihar ward 232 in M II Shah. (N).- Imp/Repair and raising of boundary wall and pdg. Shed along wall infront of H No C-8/105 of Bhagat singh Park in C 9 block Yamuna Viha] [MCD/TR/5652/2023_5_1_1/1] [2023_MCD_166419_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,Imp,C 9 block Yamuna Viha
150.0,18-Aug-2023 11:00 AM,11-Sep-2023 02:00 PM,12-Sep-2023 03:00 PM,"[Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Fibre Cable Pulling/Blowing testing and commissioning of the 4G sites at Gadidhaboru, Pandirimamidigudem, Buruguwada, Puchikapadu and Rachannagudem] [ELR/NWP/4G SATURATION/OFC TENDER 8] [2023_BSNL_164773_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD West Godavari,,PLB,
151.0,02-Sep-2023 06:00 PM,11-Sep-2023 02:00 PM,11-Sep-2023 02:30 PM,[Imp/Repair and raising of boundary wall of Bhagat singh Park in C 9 block Yamuna Vihar ward 232 in M II Shah. (N).- Imp/Repair and raising of boundary wall and pdg. Shed along wall infront of H No C-8/105 of Bhagat singh Park in C 9 block Yamuna Viha] [MCD/TR/5652/2023_5_1_1/1] [2023_MCD_166419_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,Imp,C 9 block Yamuna Viha
152.0,02-Sep-2023 06:00 PM,11-Sep-2023 02:00 PM,11-Sep-2023 02:30 PM,"[Improvement / Dev of Satsang Park Bhajanpura Yamuna Vihar ward 232 Yamuna Vihar M II Shah. (N).- Improvement / Dev of main gate , construction of shed , raising of courtyard , pdg interlocking tiles and pdg brick work around trees at Satsang Park Bha] [MCD/TR/5649/2023_5_1_1/1] [2023_MCD_166427_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,,,Satsang Park Bha
