Tender,Company,Procurement,Notice,Location,Closing,Value,Date,Tender_Url
National Framework Agreement for Managed Services,Countess Of Chester Hospital,  Opportunity,  Open,  United Kingdom,"  20 September 2022, 12pm","Contract value £100,000,000","   2 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/d5cfd377-028c-4428-a2e4-b367793e4890?origin=SearchResults&p=18
Supply of Inverted Fluorescent Microscope,Defra Network eTendering Portal,  Opportunity,  Open,  KT15 3NB,"  27 September 2022, 12pm","Contract value £30,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/2f884d8a-d1c7-406f-928b-61544d4606b8?origin=SearchResults&p=19
Roofing Project at Lord Louis Library,Isle of Wight Council,  Opportunity,  Open,  England,"   5 October 2022,  2pm","Contract value £160,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/5a3e1803-e060-41d7-9dfd-430c4c2983cb?origin=SearchResults&p=19
GB-Gosport: OPA T523/1657 - OFD Thanckes - NATO Pumphouse Ventilation,The Oil and Pipelines Agency,  Opportunity,  Open,  Any region,"  23 September 2022, 12pm","Contract value £50,000 to £100,000","  24 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/050faa7d-9198-444b-b6aa-26cd61f1f5cf?origin=SearchResults&p=19
PROVISION OF HOLIDAY AND SATURDAY GROUP BASED SHORT BREAK SERVICE FOR DISABLED CHILDREN AND YOUNG PEOPLE.,London Borough of Bromley,  Opportunity,  Open,  England,"  14 October 2022, 12pm","Contract value £1,379,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/2a2e6df4-5f01-448e-afdc-2fe4e1c71cfd?origin=SearchResults&p=19
Director of Public Health Annual Report 2022-3 - Communications and Marketing,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   3 October 2022, 12am",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/04067991-53e8-420f-8bbf-11ad3b7d7a32?origin=SearchResults&p=19
Wandsworth and Richmond Assessment Point for Winter Warmth and Fuel Poverty Service,London Borough of Wandsworth,  Opportunity,  Open,  London,"  10 October 2022, 12pm","Contract value £1,228,080","   9 September 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/3f19373f-2dee-416f-839f-b1da559455f1?origin=SearchResults&p=19
Roller Shutter Servicing Contract for St Helens Council 2022 - 2025,St.Helens Council,  Opportunity,  Open,  United Kingdom,"   3 October 2022, 12pm","Contract value £130,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/c74649f3-6565-4bf8-9960-7003d6bd8078?origin=SearchResults&p=19
RA322406 - Embolectomy Catheters,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"   3 October 2022, 12pm",Contract value £0,  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/9e5935bb-30d9-4368-980c-e2c6c99971b7?origin=SearchResults&p=19
NU/1806  The Supply of Fine Art Materials,Newcastle University,  Opportunity,  Open,  United Kingdom,"  14 October 2022, 12pm","Contract value £190,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/064e62d3-43e1-4c7c-9529-12024de98aae?origin=SearchResults&p=19
Mixing Equipment for UKBIC Flexible Industrialisation Line (FIL),UK Battery Industrialisation Centre,  Early engagement,  Open,  England,  12 December 2022,Publication date 12 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/29aefcb3-1dc2-4d79-bdd2-492ce833f924?origin=SearchResults&p=19
Cyber and Local Digital Monitoring and Evaluation,"DEPARTMENT FOR LEVELLING UP, HOUSING AND COMMUNITIES",  Early engagement,  Open,  United Kingdom,  26 September 2022,Publication date 12 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/ff48a1ce-233a-4627-a5bb-cad8e4a18064?origin=SearchResults&p=19
Beaumont Leys Gym Equipment,Leicestershire Police,  Opportunity,  Open,  East Midlands,"  26 September 2022, 12pm","Contract value £30,000 to £60,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/dded7abf-aa30-4ca3-b20e-687d8439d8d9?origin=SearchResults&p=19
CORE Education Trust - Catering Services Tender,CORE Education Trust,  Opportunity,  Open,  West Midlands,"  18 November 2022, 12pm","Contract value £3,371,475",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/b0d765ac-f407-42ea-9342-5932e7b6c890?origin=SearchResults&p=19
CORE Education Trust - FM Services Tender,CORE Education Trust,  Opportunity,  Open,  West Midlands,"  18 November 2022, 12am","Contract value £6,608,450",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/5c8e4a5f-3023-4706-aaa4-c79653953ed6?origin=SearchResults&p=19
Solarwinds Maintenance RFQ,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  23 September 2022,  5pm","Contract value £5,000 to £10,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/5412e17c-f565-4034-b146-891e9107a350?origin=SearchResults&p=19
CA10937 - Provision of Customer Service Team,The Prince's Trust,  Opportunity,  Open,  EC2M 7LS,"  20 September 2022, 12pm","Contract value £2,800,000","   8 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/bae4a09a-27dc-419b-94af-b7d1a47ba37d?origin=SearchResults&p=19
Adoption Tees Valley- Approved Specialist Assessments & Therapeutic Services Provider List,Stockton Borough Council,  Opportunity,  Open,  England,"  16 September 2022,  2:30pm","Contract value £8,000,000","  16 August 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/cf5a5526-c570-4d10-9cc1-8d0234c08117?origin=SearchResults&p=19
Expression of Interest,Milton Keynes Council,  Early engagement,  Open,  MK9 3EJ,  30 September 2022,Publication date 12 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/b2c18e0a-782d-4caf-9500-c1f6c604fa2d?origin=SearchResults&p=19
Provision of Autism Support Services in Enfield,London Borough of Enfield,  Early engagement,  Open,  United Kingdom,  19 September 2022,"Publication date 19 August 2022, last edited 12 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/5e749280-fa59-4072-9205-e5f1bdaa7e12?origin=SearchResults&p=19
Core Finance System,Platform Housing Ltd,  Opportunity,  Open,  West Midlands,"  14 October 2022, 12pm","Contract value £3,500,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/bc061381-5a85-4bf4-b8e1-fdfce4d7e6fc?origin=SearchResults&p=19
YPO - 001130 - Self-Heating Meals and Beverages for Emergency Services and Wider Public Sector,YPO,  Opportunity,  Open,  United Kingdom,"  13 October 2022,  2pm","Contract value £100,000 to £1,000,000",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/d9b99cf6-6157-4b48-ba2e-28d49b0b4955?origin=SearchResults&p=20
Distance Learning Learner Find Services for NCG,NCG Corporation,  Opportunity,  Open,  England,"   6 October 2022, 10am","Contract value £160,000 to £320,000","   6 September 2022, last edited 12 September 2022",https://www.contractsfinder.service.gov.uk/notice/81133c26-b94f-418f-bda4-b2d725f59754?origin=SearchResults&p=20
Decommissioning Nuclear and Waste Partnership - Market Engagement PIN 2 Reference number:  15676,Sellafield,  Early engagement,  Open,  CA20 1PG,  23 September 2022,Publication date 12 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/2d3f5e3e-0709-45af-a391-dc0112ecf77f?origin=SearchResults&p=20
Purchase of Fleet Vehicle requirements for  British Embassy Yangon,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  23 September 2022,  6:30am","Contract value £75,210",  12 September 2022,https://www.contractsfinder.service.gov.uk/notice/11411009-04fe-464f-910d-3ce8d2f7420d?origin=SearchResults&p=20
"Supply of illuminated lighting and SFX display at Dartmouth Park, West Bromwich TBW053",Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DE,"  22 September 2022,  3pm","Contract value £25,000 to £35,000",  10 September 2022,https://www.contractsfinder.service.gov.uk/notice/cebce660-2696-49b3-889f-3691020099ef?origin=SearchResults&p=20
Building and Fire Safety Framework,Echelon Consultancy Ltd,  Opportunity,  Open,"  East Midlands, East of England, London, North East, North West, South East, South West, Wales, West Midlands, Yorkshire and the Humber","  10 October 2022, 12pm","Contract value £1,353,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/8cb7cfd4-02c8-4456-8430-05ea43acaccd?origin=SearchResults&p=20
GB-London: National Portrait Gallery Public Relations Tender,National Portrait Gallery,  Opportunity,  Open,  London,"  23 September 2022, 12pm","Contract value £25,000 to £50,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/65ba456f-8e68-4f59-bfd4-647c70bd708e?origin=SearchResults&p=20
"GB-Telford: Refurbishment of a children's play area at Victoria Avenue, Telford",Telford & Wrekin Council,  Opportunity,  Open,  West Midlands,"   4 November 2022,  4pm","Contract value £50,000 to £100,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/44463da2-270b-42d9-9a94-709269717117?origin=SearchResults&p=20
ES10 Access Roundabout Ground Stabilisation Works,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  S702TA,"  21 October 2022, 12pm","Contract value £250,000 to £500,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/f6eba835-f5ec-4222-a90e-5ca3c95f3db6?origin=SearchResults&p=20
Countryside Survey data testing for a State of Natural Capital Report,Natural England,  Opportunity,  Open,  England,"  30 September 2022,  5pm","Contract value £10,000 to £24,999","   9 September 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/1175b0ec-3fcd-4b85-89ec-7fa981eb8a52?origin=SearchResults&p=20
Data analysis testing for a State of Natural Capital Report,Natural England,  Opportunity,  Open,  England,"  30 September 2022,  5pm","Contract value £10,000 to £24,999",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/cc142120-f7cf-463f-b0f3-86d105d0b10e?origin=SearchResults&p=20
C24009 - CPV Hunter - MSER,Home Office,  Opportunity,  Open,  M5 3LZ,"  23 September 2022,  5pm","Contract value £0 to £138,760",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/60485636-c131-4ee8-aa0f-b26826b0b089?origin=SearchResults&p=20
Radiation Monitoring Network,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  London,"  10 October 2022, 12pm","Contract value £14,000,000 to £17,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/ed54df26-ab5d-487d-a472-bca62c349821?origin=SearchResults&p=20
Consultancy For Discharge To Assess Service,East Riding of Yorkshire Council,  Opportunity,  Open,  HU17 9BA,"  10 October 2022, 12pm","Contract value £1 to £629,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/34defd11-a949-488e-8e20-e3e21b992e3c?origin=SearchResults&p=20
Refurbishment and Capital Works Improvement,Craig Pullen Consulting,  Opportunity,  Open,  MK6 5LP,"  13 October 2022, 12pm","Contract value £5,011,966",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/bbd4ee0f-6fb4-44c9-b66c-0f177e67311b?origin=SearchResults&p=20
Project 36681 - Veterinary Support in Orkney to APHA Scotland,Defra Network eTendering Portal,  Opportunity,  Open,  Scotland,"  29 September 2022, 12pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/32f1e133-21f1-4c74-ab5f-693cd07888a5?origin=SearchResults&p=20
"The Kings CE School, Wolverhampton - School Catering Services",Matriculate Consulting Ltd,  Opportunity,  Open,  West Midlands,"  10 October 2022, 12pm","Contract value £875,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/cdfe1546-8965-420a-b322-3c77a8c8562e?origin=SearchResults&p=20
P280 - Health Inc Report system,SparkFund,  Opportunity,  Open,  Yorkshire and the Humber,"  26 September 2022, 12pm","Contract value £0 to £38,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/bea05e78-60a8-4241-bc53-2392f7da114f?origin=SearchResults&p=20
IVS/145/P277 - Filming Wildlife Channels,SparkFund,  Opportunity,  Open,  Yorkshire and the Humber,"  16 September 2022, 12pm",Contract value £0 to £765,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/984c6d12-f867-4445-8e72-5e862f7c5412?origin=SearchResults&p=20
RA322391 - Digital Communication equipment,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"  16 September 2022,  5:30pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/e206b360-6260-4fb6-b4be-22ea93d3f1e1?origin=SearchResults&p=20
Research Project for Onshore Aquaculture ORE22099,Offshore Renewable Energy Catapult,  Opportunity,  Open,  Wales,"  23 September 2022, 12pm","Contract value £25,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/8491456f-f774-45d0-91fc-ef3142911b25?origin=SearchResults&p=21
WSG/PM/22/62 Invitation to Tender for the Decarbonisation Scheme at Priorswood Medical Records,Somerset NHS Foundation Trust,  Opportunity,  Open,  South West,"   3 October 2022, 12pm","Contract value £100,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/2d551d26-0a80-4714-9050-5a485c5b51d7?origin=SearchResults&p=21
WSG/PM/22/61 Invitation to Tender for the Decarbonisation Scheme at Wincanton Hospital,Somerset NHS Foundation Trust,  Opportunity,  Open,  South West,"   3 October 2022, 12pm","Contract value £100,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/729d7714-2c98-44f1-b421-3d49f4fb6d87?origin=SearchResults&p=21
Midlands Metro Winterisation Services (Gritting and Snow Clearance),West Midlands Combined Authority,  Opportunity,  Open,  B19 3SD,"  10 October 2022, 12pm","Contract value £170,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/e87e3b93-6173-4353-8bd6-f0c86547a9dc?origin=SearchResults&p=21
"New Homes Build - East Bay Mill, Colchester",CHP,  Opportunity,  Open,  England,"  10 October 2022, 12pm","Contract value £5,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/273558cb-56d7-4ac8-a9e8-ed549503d601?origin=SearchResults&p=21
RMBC - AM - Christmas Lights Installations,Runnymede Borough Council,  Opportunity,  Open,  KT15 2AH,"   7 October 2022, 12pm","Contract value £24,000 to £28,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/459ecb44-0089-4ab4-95f3-43ccc7e97d1b?origin=SearchResults&p=21
C24008 - CPV Alert - MSER,Home Office,  Opportunity,  Open,  M5 3LZ,"  23 September 2022,  5pm","Contract value £0 to £138,760",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/d4efe296-da3c-4b8f-9621-0d26726b3e5b?origin=SearchResults&p=21
Proposed Internal Alterations and Refurbishment Works at Cotswold District Council,Cotswold District Council,  Opportunity,  Open,  GL7 1PX,"  10 October 2022,  5pm","Contract value £375,000 to £420,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/6a395841-dd66-4f85-bf29-c09d5d1a68e9?origin=SearchResults&p=21
Supply and Installation of Bathroom Adaptions and Associated Additional Works,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  S70 2TA,"   7 October 2022, 12pm","Contract value £0 to £5,100,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/25be9228-9d94-455c-b297-ba164fe61ed6?origin=SearchResults&p=21
"NCC1014 Roads and Sewers, Pennine Way, Bellingham",Advance Northumberland Limited,  Opportunity,  Open,  North East,"  30 September 2022, 12pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/705b219b-0dc9-44e7-a322-1544f7470efe?origin=SearchResults&p=21
"WAV AF Provision and installation of vehicle gate/height barrier, Bourne Recreation Ground, Farnham, Surrey",Waverley Borough Council,  Opportunity,  Open,  GU7 1HR,"  28 September 2022,  1pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/a6192118-6e61-4f8d-bd66-15b320c14b42?origin=SearchResults&p=21
New Car Ferry for Lake Windermere,Cumbria County Council,  Opportunity,  Open,  England,"  16 September 2022, 11:59pm","Contract value £5,000,000","  25 May 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/ffe1599a-b42c-4fca-9481-f3b4d9141fce?origin=SearchResults&p=21
BHCC JB Client Transport Vulnerable Children and Adults,BHCC Families Children and Learning,  Opportunity,  Open,  BN1 1JE,"   6 October 2022, 12pm","Contract value £8,000,000 to £12,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/e0f31748-2875-4fef-ab90-2aeed93c1810?origin=SearchResults&p=21
North Northamptonshire Council Education Case Management System,North Northamptonshire Council,  Early engagement,  Open,  East Midlands,  12 October 2022,Publication date  9 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/658c5aa7-36bc-4c55-b8d2-656fd1ee27ee?origin=SearchResults&p=21
Supply Installation and Commissioning of a TGA linked to an FTIR,CENTRE FOR PROCESS INNOVATION LIMITED,  Opportunity,  Open,  North East,"  22 September 2022, 12pm","Contract value £177,897.50","   7 September 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/be0b203b-65e1-4ae8-9092-729239aa0a53?origin=SearchResults&p=21
Prospect CL Rig Extracted Containment and PLC Software upgrades,CENTRE FOR PROCESS INNOVATION LIMITED,  Opportunity,  Open,  North East,"  29 September 2022, 12pm","Contract value £30,000 to £177,897.50",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/dc0c9a73-cd1e-421b-a1ed-682ae3d6fbcc?origin=SearchResults&p=21
Non Destructive Testing,LondonEnergy Ltd,  Opportunity,  Open,  N18 3AG,"  10 October 2022,  4pm","Contract value £600,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/32cb884b-4e13-4c1b-9552-8d129524c6ef?origin=SearchResults&p=21
Support At Home Service,Tameside Metropolitan Borough Council,  Opportunity,  Open,  United Kingdom,"  10 October 2022, 12pm","Contract value £73,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/0a4677c8-1c4b-4fa7-8b44-50810f8d2e40?origin=SearchResults&p=21
Refractory Application within Waste Incineration Boilers,LondonEnergy Ltd,  Opportunity,  Open,  N18 3AG,"  10 October 2022,  4pm","Contract value £450,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/94c6ba3e-27c4-4900-b3a3-8cd69e449531?origin=SearchResults&p=21
GBC - Repair and Maintenance Measured Term Contracts (ABANDONED PROCUREMENT),Guildford Borough Council,  Opportunity,  Open,  GU2 4BB,"   7 October 2022, 12pm",Contract value £0,"   1 September 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/acd6ed2c-46c4-4244-a08c-b44bf21fdd0b?origin=SearchResults&p=21
Supply of PPE (Personal Protective Equipment) and Safety Workwear Y23033,Kent County Council (t/a Procurement Services),  Opportunity,  Open,  United Kingdom,"  26 October 2022,  2pm","Contract value £0.10 to £50,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/c94f361a-a7ae-4e97-afc2-e9da91cefea3?origin=SearchResults&p=22
"Winter Maintenance Services 2022/2023 (Allerdale, Carlisle and Copeland Areas)",Cumbria County Council,  Opportunity,  Open,  England,"  11 October 2022, 12pm","Contract value £60,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/5aa2a13c-d097-40de-847e-bd921cdddb4b?origin=SearchResults&p=22
GB-Luton: Installation of Air Dampers and Associated Works to Surgical Block 71,Luton and Dunstable Hospital,  Opportunity,  Open,  East of England,"  10 October 2022, 12pm","Contract value £50,000 to £100,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/f1fc6c83-7961-4694-87d8-bf4ebc969d09?origin=SearchResults&p=22
Social prescribing to support REACT services across Ipswich and East Suffolk,NHS Suffolk and North East Essex Integrated Care Board,  Opportunity,  Open,  IP1 2BX,"   7 October 2022, 12:48pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/a28d88c1-5600-46c6-be6d-0cb43fc38c0b?origin=SearchResults&p=22
Mailing Database Provider for the British National Formulary,National Institute For Health And Care Excellence,  Opportunity,  Open,  North West,"  21 October 2022, 12pm","Contract value £100,000 to £150,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/e6e26c6f-7e76-4f7b-93f2-a1a6969812ca?origin=SearchResults&p=22
0-19 Healthy Child Programme Market Analysis,Oxfordshire County Council,  Early engagement,  Open,  England,  28 September 2022,Publication date  9 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/82fa977f-32d5-4cb4-be00-090cc400d34a?origin=SearchResults&p=22
"Winter Maintenance Services 2022/2023 (Barrow, Eden and  South Lakeland Areas)",Cumbria County Council,  Opportunity,  Open,  England,"  11 October 2022, 12pm","Contract value £360,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/af515066-2958-4905-9a0d-9079744718ea?origin=SearchResults&p=22
Parent-Infant Attachment and Wellbeing Service (PAWS),Liverpool City Council,  Opportunity,  Open,  England,"  12 October 2022,  4pm","Contract value £1,211,250 to £2,111,250",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/8c211b75-28ad-4720-85ad-cc277edf9362?origin=SearchResults&p=22
Investigation into Unauthorised Structural Subsystems,OFFICE OF RAIL AND ROAD,  Opportunity,  Open,  United Kingdom,"  12 October 2022,  5pm","Contract value £51,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/1e058ff1-79bf-45e5-86d3-c424a01a9a27?origin=SearchResults&p=22
PR192022 Vaughan Road Main Contractor,Exeter City Council,  Opportunity,  Open,  England,"  14 November 2022, 12pm","Contract value £7,000,000 to £23,000,000","   9 September 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/9d6dae7a-42f5-4fca-a0e4-9e03cdd958d4?origin=SearchResults&p=22
"NCC748 Woodhorn Museum - Walker Motor Room, Fan Room, Crab Engine House and Large Object Store Roof Replacement and Associated Building Works",Northumberland County Council,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £120,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/cd84c032-59bf-4f3d-85a1-2f97bcbb0e9a?origin=SearchResults&p=22
CSW - Collection of Bulky Waste,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  10 October 2022, 12pm","Contract value £0 to £1,400,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/4e418d58-c4dc-461f-96c8-61efc1a75a76?origin=SearchResults&p=22
RFQ: Procurement of Diode Laser Systems,National Physical Laboratory,  Opportunity,  Open,  TW11 0LW,"   5 October 2022,  5pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/87d06382-3d78-4b99-ac49-49329197c754?origin=SearchResults&p=22
ITT_32713 PROVISION OF FIRE DOOR REPLACEMENT PROGRAMME 22-23,"Bath and Northeast Somerset, Swindon and Wiltshire STP",  Opportunity,  Open,  BA1 3NG,"   7 October 2022,  2pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/b581cd15-76f2-44fb-a3a2-2876a8680330?origin=SearchResults&p=22
Great Hall Lighting Rig and Associated Services,University of Exeter,  Opportunity,  Open,  South West,"  11 October 2022, 12pm","Contract value £1,200,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/12db5f3d-2e47-4aff-b3a5-1d32ad4731e0?origin=SearchResults&p=22
ALL AGE SUBSTANCE MISUSE SERVICE (DRUG & ALCOHOL SERVICE) and Rough Sleepers and those at Risk of Rough Sleeping community outreach service,Slough Borough Council,  Opportunity,  Open,  SL1 3UF,"  27 September 2022, 12pm",Contract value £0,"  16 August 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/b5e70edd-8a5c-4390-9fc5-656d0062bd80?origin=SearchResults&p=22
Support to delivery a Land Commission,London Borough of Southwark,  Opportunity,  Open,  SE1 2QH,"   3 October 2022,  9am","Contract value £30,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/2b060333-3bdd-4704-8a33-b8c301fa808b?origin=SearchResults&p=22
PAPI 1065.1 - Medical Imaging Cloud Software Solution,University of York,  Opportunity,  Open,  YO10 5GE,"  20 September 2022,  5pm","Contract value £50,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/b88c3756-865c-4c8e-8ddf-c272bfcb349a?origin=SearchResults&p=22
"Financial Planning, Forecasting and Budgeting Solution",Financial Services Compensation Scheme,  Opportunity,  Open,  Any region,"  28 October 2022,  2pm","Contract value £1,150,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/0c7bafeb-15b7-4452-a30f-e83dbde9346b?origin=SearchResults&p=22
Defining 'Robust Environmental Schemes' - private and public - for the WWF Basket Metric,WWF-UK (WORLD WIDE FUND FOR NATURE) TRADING LIMITED,  Opportunity,  Open,  United Kingdom,"   5 October 2022, 12pm","Contract value £70,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/71ae9080-756f-4fc0-bba1-fed02cc8a62b?origin=SearchResults&p=22
Heat Networks Operation & Maintenance and Metering & billing Tender - Market Engagement Opportunity,Notting Hill Genesis,  Opportunity,  Open,  London,"  16 December 2022, 12am","Contract value £25,000,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/42b8f3e8-0636-42dc-b21c-4ce341ad65cf?origin=SearchResults&p=23
New build Milford Diagnostics Centre for MRI and CT Diagnostics Imaging at Milford Hospitalv2,Royal Surrey Hospitals NHS Foundation trust,  Opportunity,  Open,  GU2 7XX,"  30 September 2022,  3pm",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/67986a58-71d8-4a06-b9b9-e44d4fdf666e?origin=SearchResults&p=23
GB-Chelmsford: FIRE0567 Gt Baddow Roof Replacement,"Essex Police, Fire and Crime Commissioner Fire and Rescue Authority",  Opportunity,  Open,  East of England,"   7 October 2022, 12pm","Contract value £100,000 to £500,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/879a9614-354a-4421-a3cb-3ec2b1cacf1a?origin=SearchResults&p=23
GB-Kettering: Installation and Maintenance of Network Cabling and Related Services,Kettering General Hospital NHS Foundation Trust,  Opportunity,  Open,  East Midlands,"  29 September 2022, 12pm","Contract value £100,000 to £500,000","  31 August 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/1ed236a6-ef96-4e1f-8596-950e2f6c77e5?origin=SearchResults&p=23
Repatriation Services,Ministry of Defence,  Opportunity,  Open,  GL3 1HW,"  10 October 2022, 10am",Contract value £0,   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/3a1b66f7-8291-4dfc-a177-c37000997d4a?origin=SearchResults&p=23
NHS England [Midlands] - Integrated Healthcare Services at Clayfields and Lincolnshire Secure Children's Units,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  East Midlands,"  11 October 2022, 12pm","Contract value £0 to £11,700,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/991453c5-244b-4709-9133-c1c5a6a0c6a8?origin=SearchResults&p=23
BSH/HRA/Walwyn Gardens - Major Refurbishment,Bristol City Council,  Opportunity,  Open,  England,"  24 October 2022, 12pm","Contract value £3,000,000","   8 September 2022, last edited  9 September 2022",https://www.contractsfinder.service.gov.uk/notice/9bdb882b-0bf1-45b7-add1-2f5ad5203a36?origin=SearchResults&p=23
CT Scanner,Ministry of Defence,  Opportunity,  Open,  SP4 0JQ,"  17 October 2022, 12pm","Contract value £2,220,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/d58750c3-0dd4-4bdd-915e-12b769e93841?origin=SearchResults&p=23
"The repair and maintenance of CCTV systems, smoke/ fire detection systems, automatic gate systems with an access control system and electric fences",Lincolnshire County Council,  Opportunity,  Open,  England,"  14 October 2022, 12pm","Contract value £300,000",   9 September 2022,https://www.contractsfinder.service.gov.uk/notice/337677ca-30a5-43dc-8ae5-fe59fee1d2fb?origin=SearchResults&p=23
